id,title,severity,default,why_it_matters,preferred_position,fallback_1,fallback_2,red_line,escalation_trigger,legal_basis,sample_clause,approved_fix,owner,last_reviewed
LT-001,Governing law required,medium,Governing law and venue must be explicit.,"Undefined law and forum increase procedural uncertainty, cost, and enforcement risk.","German law with Munich courts or DIS arbitration seated in Munich, with interim relief carve-out.",Neutral EU law and forum approved by BMW Legal for balanced cross-border matters.,"Counterparty forum only for low-value, local, non-precedential disputes with legal sign-off.","No governing law, no forum, or exclusive supplier home courts for high-value BMW disputes.","Escalate if governing law is missing, non-EU, or conflicts with the litigation strategy.",ZPO Section 38; Rome I; commercial arbitration practice.,The Agreement is governed by the laws chosen by the claimant at the time of filing.,"This Agreement is governed by German law. The courts of Munich have exclusive jurisdiction, subject to interim relief.",BMW Litigation,2026-04-25
LT-002,Settlement authority,high,Settlement authority must remain with authorized BMW legal representatives.,"Settlement decisions can create precedent, regulatory admissions, financial exposure, and publicity risk.","Only BMW Legal or a named authorized representative may approve settlement, admission, compromise, or consent order.",Business owner may approve purely commercial service credits below a named threshold with legal notice.,Outside counsel may negotiate but not bind BMW without written authority.,"Supplier, business stakeholder, insurer, or outside counsel can settle or admit liability without BMW Legal approval.",Escalate if settlement authority is delegated outside BMW Legal or is silent in a dispute-support contract.,BMW litigation governance; authority and mandate principles under German civil law.,"Service Provider may settle claims below EUR 100,000 where it reasonably believes settlement is efficient.","No settlement, admission, consent order, or compromise may be made without prior written approval from BMW Legal.",BMW Litigation,2026-04-25
LT-003,Unlimited liability escalation,blocker,Unlimited liability must be escalated to legal.,Unlimited liability can exceed the value of the transaction and may interact with statutory non-excludable liability.,"Use the approved cap matrix, with carve-outs only for intent, gross negligence where required, confidentiality, IP, and data protection as approved.","Higher cap for defined high-risk breaches if insurance, fault standard, and direct-damages limits are clear.",Separate super-cap for data protection or confidentiality breaches approved by BMW Legal.,"BMW accepts unlimited liability, uncapped indemnity, punitive damages, or open-ended consequential damages.",Escalate any unlimited liability clause before business approval.,"BGB Sections 276, 307, 309, and 310; BMW liability matrix.","BMW accepts unlimited liability for all losses, claims, penalties, and consequential damages.","Liability is capped at 100 percent of annual fees, except for mandatory statutory liability and agreed carve-outs approved by BMW Legal.",BMW Litigation,2026-04-25
LT-004,Litigation hold and evidence preservation,high,Supplier must preserve relevant records after BMW issues a legal hold and must suspend conflicting deletion routines.,"Deleted evidence can damage BMW's position, increase sanctions risk, and undermine expert testimony.","Immediate hold acknowledgement, preservation of custodians and systems, audit log retention, and named hold owner.",48-hour acknowledgement for low-risk suppliers with automated deletion paused within five business days.,"Targeted preservation scope if BMW Legal approves search terms, custodians, and date ranges.","Supplier may delete, overwrite, rotate logs, or charge hold fees before preserving evidence.",Escalate if the supplier refuses to suspend deletion or limits preservation to paid work orders.,German civil procedure evidence strategy; ZPO disclosure and proof principles.,Supplier may continue ordinary deletion unless BMW pays for a premium evidence-preservation package.,"Upon BMW's notice, Supplier shall immediately preserve relevant records and suspend deletion routines for held data.",BMW Litigation / eDiscovery,2026-04-25
LT-005,Privilege and legal confidentiality,high,"Legal advice, investigation materials, and counsel communications must be protected and disclosed only on BMW Legal instruction.",Poor privilege handling can waive protections or reveal litigation strategy.,"Segregate privileged materials, label counsel work product, and route third-party requests to BMW Legal immediately.",Use a privilege protocol in the statement of work if the supplier handles mixed technical and legal materials.,Permit disclosure only after legally required production and only after BMW has a chance to seek protection.,"Supplier may disclose privileged documents, investigation notes, or legal strategy without prior notice.","Escalate if subpoena, regulator, or adverse-party language lacks prompt BMW Legal notice.",German professional secrecy and litigation confidentiality practice; ZPO protective strategy.,Supplier may disclose BMW materials to regulators or courts where it considers disclosure advisable.,Supplier shall notify BMW Legal immediately and disclose only the minimum required after BMW has had an opportunity to object.,BMW Litigation,2026-04-25
LT-006,Interim relief and injunctive remedies,medium,BMW must retain the ability to seek urgent interim or injunctive relief in a competent court.,"Confidentiality, IP, data misuse, and evidence preservation disputes may need rapid court intervention.",Arbitration or court clause includes explicit carve-out for interim relief and preservation orders.,Emergency arbitrator relief plus court fallback where arbitral relief is unavailable.,"Mutual injunctive relief limited to confidentiality, IP, data protection, and evidence preservation.","Cooling-off, mediation, or escalation steps block urgent relief.",Escalate if the dispute clause requires executive negotiation before urgent court action.,ZPO interim relief practice; arbitration interim measure practice.,No party may apply to court until executive negotiation and mediation have concluded.,Nothing prevents either party from seeking interim or injunctive relief from a competent court at any time.,BMW Litigation,2026-04-25
LT-007,"Forum, arbitration, and language",medium,"Dispute forum, seat, language, service rules, and confidentiality of proceedings must be specified.",Procedural ambiguity can create expensive satellite disputes before the merits are reached.,"DIS or ICC arbitration seated in Munich, German law, English language if cross-border, and confidentiality of proceedings.",Munich courts with English-language evidence protocol for technical exhibits.,Neutral EU seat and English language if legal confirms enforceability and business need.,"Ad hoc arbitration with no seat, no appointing authority, or counterparty-only local court jurisdiction.",Escalate any forum clause that could force BMW into non-EU courts or unclear arbitration.,ZPO Section 1031 and New York Convention enforcement considerations.,Any dispute shall be settled by arbitration under rules agreed after a dispute arises.,Disputes shall be finally resolved under DIS Rules by one arbitrator seated in Munich; proceedings are in English.,BMW Litigation,2026-04-25
LT-008,Limitation periods and claims preservation,medium,"The contract must not shorten limitation periods for intentional misconduct, data protection claims, or claims under active legal hold.",Short contractual limitation periods can cut off claims before technical defects or data incidents are understood.,Statutory limitation periods apply unless BMW Legal approves a specific commercial limitation.,"One-year limitation only for ordinary fee claims, excluding confidentiality, data, IP, and intentional misconduct.","Toll limitation periods during remediation, audit, settlement discussions, or legal hold.","Six-month limitation for all claims, or shortened limitation for intent or gross negligence.","Escalate if the draft shortens limitation periods for data breach, intentional misconduct, or pending disputes.",BGB Section 202; BGB Section 203; BGB Section 276.,"All claims expire six months after the event, including intentional misconduct and data breaches.","Statutory limitation periods apply to confidentiality, data protection, IP, intentional misconduct, and legal-hold matters.",BMW Litigation,2026-04-25
LT-009,Indemnity and third-party claims,high,"Indemnities must be mutual where appropriate, limited to direct third-party claims, and aligned with the liability cap matrix.",Broad indemnities can bypass caps and create exposure for remote or speculative damages.,"No general indemnity; targeted indemnities for IP infringement, confidentiality breach, data breach, and willful misconduct.",Indemnity capped and limited to direct third-party claims caused by the indemnifying party's breach.,"Defense-control language with BMW approval over counsel, admissions, and settlement.","Uncapped, one-sided, punitive, consequential, or regulator-fine indemnity imposed on BMW.",Escalate if indemnity bypasses the liability cap or gives settlement control to the supplier.,"BGB Sections 276, 307, 309, and BMW liability matrix.","BMW indemnifies Supplier for all third-party claims, fines, penalties, loss of profit, and consequential damages.",Indemnity applies only to direct third-party claims caused by a party's breach and remains subject to the agreed cap.,BMW Litigation,2026-04-25
LT-010,"eDiscovery, data exports, and confidentiality",high,"Litigation data exports must preserve chain of custody, confidentiality, privilege, and data protection safeguards.","Exporting case data can expose personal data, trade secrets, and privileged materials.","Named EU repository, hashed exports, custodian log, privilege screen, encryption, and BMW approval for any external production.",External forensic provider approved by BMW Legal with EU hosting and documented chain of custody.,"Temporary transfer to a third country only with SCCs, transfer assessment, encryption, and legal approval.",Uncontrolled exports to global eDiscovery platforms or adverse parties without review.,Escalate if case materials leave the EU/EEA or include personal data without a litigation data protocol.,"GDPR Art. 5, 6, 28, 32, 44-46; ZPO evidence practice.",Supplier may export case data to any hosted review platform selected by its litigation team.,"All litigation exports require BMW Legal approval, encryption, chain-of-custody logging, and the safeguards in Annex 4.",BMW Litigation / Privacy Legal,2026-04-25
LT-011,Regulatory communications and admissions,high,"Supplier may not notify regulators, customers, press, insurers, or claimants about BMW matters without BMW Legal approval unless mandatory law requires it.","Uncoordinated statements can create admissions, inconsistent facts, privilege loss, and reputational harm.","Immediate notice to BMW Legal, joint communication plan, and no admission of fault without written approval.",Mandatory legal notification permitted only after notice to BMW and with minimum required facts.,Supplier can notify its insurer if confidentiality and no-admission obligations are preserved.,"Supplier may make voluntary disclosures, admissions, press statements, or regulator filings at its discretion.",Escalate any clause allowing unilateral admissions or customer/regulator communications.,BMW litigation governance; privilege and admission risk controls.,Supplier may notify regulators and affected customers if it believes notice is prudent.,Supplier shall not make voluntary statements or admissions concerning BMW without prior written approval from BMW Legal.,BMW Litigation / Communications,2026-04-25
LT-012,"Counsel, expert, and vendor conflict checks",medium,"External counsel, experts, and litigation vendors must pass conflict checks and confidentiality onboarding before receiving BMW materials.","Conflicts and loose onboarding can compromise strategy, evidence integrity, and confidentiality.","No external expert or vendor access until BMW Legal approves conflicts, scope, and NDA/DPA coverage.",Pre-approved vendor panel for urgent forensic matters with post-engagement confirmation within 48 hours.,Limited clean-team access for technical experts under a signed confidentiality undertaking.,"Supplier can use affiliates, experts, or subcontractors without naming them or clearing conflicts.","Escalate if an expert or vendor will see privileged, personal, or trade secret material without BMW approval.","Professional secrecy, conflict management, and BMW litigation vendor governance.","Supplier may use any affiliate, expert, or subcontractor it considers useful for dispute work.",Supplier may use only BMW-approved experts and vendors listed in Annex 5 after conflict clearance and confidentiality onboarding.,BMW Litigation,2026-04-25
